M,K,N,block_x,block_y,time_taken_ms
1,784,256,21,22,0.03337860107421875
1,784,256,21,23,0.03504753112792969
1,784,256,21,24,0.03337860107421875
1,784,256,21,25,0.03337860107421875
1,784,256,21,26,0.03314018249511719
1,784,256,21,27,0.03361701965332031
1,784,256,21,28,0.03361701965332031
1,784,256,21,29,0.03361701965332031
1,784,256,21,30,0.03337860107421875
1,784,256,21,31,0.03337860107421875
1,784,256,21,32,0.03314018249511719
1,784,256,22,1,0.03337860107421875
1,784,256,22,2,0.03314018249511719
1,784,256,22,3,0.03409385681152344
1,784,256,22,4,0.03910064697265625
1,784,256,22,5,0.03337860107421875
1,784,256,22,6,0.03361701965332031
1,784,256,22,7,0.03361701965332031
1,784,256,22,8,0.03337860107421875
1,784,256,22,9,0.03314018249511719
1,784,256,22,10,0.03314018249511719
1,784,256,22,11,0.03337860107421875
1,784,256,22,12,0.03314018249511719
1,784,256,22,13,0.03314018249511719
1,784,256,22,14,0.03337860107421875
1,784,256,22,15,0.03361701965332031
1,784,256,22,16,0.03314018249511719
1,784,256,22,17,0.03337860107421875
1,784,256,22,18,0.03457069396972656
1,784,256,22,19,0.03314018249511719
1,784,256,22,20,0.03314018249511719
1,784,256,22,21,0.03337860107421875
1,784,256,22,22,0.03337860107421875
1,784,256,22,23,0.03314018249511719
1,784,256,22,24,0.032901763916015625
1,784,256,22,25,0.03337860107421875
1,784,256,22,26,0.03337860107421875
1,784,256,22,27,0.032901763916015625
1,784,256,22,28,0.03314018249511719
1,784,256,22,29,0.03337860107421875
1,784,256,22,30,0.032901763916015625
1,784,256,22,31,0.03314018249511719
1,784,256,22,32,0.03457069396972656
1,784,256,23,1,0.03361701965332031
1,784,256,23,2,0.03361701965332031
1,784,256,23,3,0.03337860107421875
1,784,256,23,4,0.03337860107421875
1,784,256,23,5,0.03314018249511719
1,784,256,23,6,0.03361701965332031
1,784,256,23,7,0.03337860107421875
1,784,256,23,8,0.03361701965332031
1,784,256,23,9,0.03314018249511719
1,784,256,23,10,0.03361701965332031
1,784,256,23,11,0.03337860107421875
1,784,256,23,12,0.03314018249511719
1,784,256,23,13,0.039577484130859375
1,784,256,23,14,0.03361701965332031
1,784,256,23,15,0.03337860107421875
1,784,256,23,16,0.03314018249511719
1,784,256,23,17,0.032901763916015625
1,784,256,23,18,0.03314018249511719
1,784,256,23,19,0.03314018249511719
1,784,256,23,20,0.03337860107421875
1,784,256,23,21,0.03314018249511719
1,784,256,23,22,0.032901763916015625
1,784,256,23,23,0.03314018249511719
1,784,256,23,24,0.03337860107421875
1,784,256,23,25,0.032901763916015625
1,784,256,23,26,0.03314018249511719
1,784,256,23,27,0.03743171691894531
1,784,256,23,28,0.03337860107421875
1,784,256,23,29,0.03337860107421875
